,match_id,date_string,home_team_id,away_team_id,half_time_score,full_time_score,home_team_rating,home_accurate_pass,home_total_pass,home_blocked_scoring_att,home_ontarget_scoring_att,home_shot_off_target,home_won_corners,home_penalty_save,home_total_tackle,home_fk_foul_lost,home_total_throws,home_possession_percentage,away_team_rating,away_accurate_pass,away_total_pass,away_blocked_scoring_att,away_ontarget_scoring_att,away_shot_off_target,away_won_corners,away_penalty_save,away_total_tackle,away_fk_foul_lost,away_total_throws,away_possession_percentage,half_time_score_home,half_time_score_away,full_time_score_home,full_time_score_away,result_home
0,1190230,2017-10-21 15:00:00,23,162,0 : 0,1 : 0,6.77714285714286,361,453,3,3,1,3,0,16,12,22,55.3,6.63,261,365,3,0,7,5,0,16,14,31,44.7,0,0,1,0,1.0
0,1190228,2017-10-21 15:00:00,167,184,1 : 0,3 : 0,7.24642857142857,723,803,1,10,4,4,0,9,10,26,77.4,6.22142857142857,150,227,3,0,3,5,0,14,6,16,22.6,1,0,3,0,1.0
0,1190231,2017-10-21 17:30:00,18,175,0 : 0,1 : 0,7.21142857142857,492,589,3,6,11,8,0,21,10,16,65.7,6.42142857142857,206,307,1,2,4,3,0,10,8,16,34.3,0,0,1,0,1.0
0,1190224,2017-10-22 13:30:00,31,13,1 : 1,2 : 5,6.29285714285714,199,287,2,3,4,0,0,8,14,16,32.4,7.28538461538461,516,616,8,14,8,7,0,12,14,30,67.6,1,1,2,5,-1.0
0,1190234,2017-10-22 16:00:00,30,26,3 : 1,4 : 1,7.23,274,359,3,6,5,3,0,22,2,24,36.2,6.21642857142857,545,629,4,7,1,5,0,26,8,32,63.8,3,1,4,1,1.0
0,1190252,2017-10-28 12:30:00,32,30,0 : 0,1 : 0,6.85214285714286,283,405,3,3,5,6,0,9,12,28,44.8,6.62230769230769,394,509,4,4,5,3,0,11,14,29,55.2,0,0,1,0,1.0
0,1190236,2017-10-28 15:00:00,13,259,0 : 1,2 : 1,6.90923076923077,701,805,4,5,8,5,0,16,9,23,72.9,6.49428571428571,218,300,0,2,2,2,0,14,9,17,27.1,0,1,2,1,1.0
0,1190254,2017-10-28 15:00:00,27,96,0 : 1,0 : 1,6.40384615384615,456,561,8,0,7,8,0,11,10,29,70.2,7.07846153846154,150,249,1,2,3,1,0,18,9,26,29.8,0,1,0,1,-1.0
0,1190256,2017-10-28 15:00:00,175,167,1 : 2,2 : 3,6.52071428571429,151,254,2,4,1,1,0,21,10,17,21.7,6.97846153846154,843,929,2,5,8,2,0,16,7,15,78.3,1,2,2,3,-1.0
0,1190246,2017-10-28 15:00:00,162,29,0 : 2,2 : 2,6.80846153846154,316,410,3,9,8,11,0,21,18,19,55.9,6.895,238,331,1,2,3,2,0,23,15,25,44.1,0,2,2,2,0.0
